wTask,Description,Actions,Objects
Infrastructure Task 5542,Supervise fiber cables and test chairs in the campus grounds.,"upgrade, inspect, audit, calibrate, plan","fiber cables, parking sensors, handrails, routers"
Infrastructure Task 5543,Mark roofing and inspect fiber cables in the sports complex.,"paint, approve, report, audit, document","UPS, switches, fire extinguishers, server room, signs"
Infrastructure Task 5544,Calibrate control panels and test fire extinguishers in the lecture halls.,"assess, refuel, inspect, test","exit signs, switches, pipes, generators"
Infrastructure Task 5545,Assess walkways and refuel doors in the cafeteria.,"supervise, test, plan, document","control panels, water tanks, fiber cables, fire extinguishers"
Infrastructure Task 5546,Upgrade fiber cables and verify landscaping tools in the academic blocks.,"paint, configure, design, monitor, approve","walkways, generators, security cameras, lighting fixtures"
Infrastructure Task 5547,Approve handrails and rectify water tanks in the academic blocks.,"maintain, mark, assess, install","corridors, landscaping tools, whiteboards, doors"
Infrastructure Task 5548,Schedule signs and audit walkways in the laboratory.,"rectify, configure, maintain, approve","chairs, fiber cables, lighting fixtures, solar panels"
Infrastructure Task 5549,Upgrade water tanks and inspect security cameras in the auditorium.,"design, calibrate, repair, approve","control panels, water tanks, walkways, HVAC units"
Infrastructure Task 5550,Assess security cameras and test solar panels in the administration building.,"configure, upgrade, report, rectify, approve","faucets, desks, elevators, paint"
Infrastructure Task 5551,Plan fire extinguishers and clean routers in the academic blocks.,"paint, mark, clean, replace, rectify","HVAC units, security cameras, UPS, faucets, elevators"
Infrastructure Task 5552,Upgrade roofing and supervise whiteboards in the student hostels.,"calibrate, plan, approve, configure","desks, security cameras, routers, handrails, control panels"
Infrastructure Task 5553,Verify switches and audit solar panels in the campus grounds.,"verify, assess, approve, report","whiteboards, routers, paint, elevators"
Infrastructure Task 5554,Install solar panels and supervise parking sensors in the campus grounds.,"document, assess, report, test","chairs, desks, fire extinguishers, classrooms"
Infrastructure Task 5555,Audit parking sensors and calibrate elevators in the sports complex.,"configure, document, rectify, maintain","solar panels, generators, walkways, control panels"
Infrastructure Task 5556,Rectify UPS and replace signs in the laboratory.,"install, verify, plan, schedule","signs, chairs, fiber cables, desks"
Infrastructure Task 5557,Approve corridors and mark classrooms in the student hostels.,"install, clean, replace, verify","elevators, fuel tanks, control panels, faucets"
Infrastructure Task 5558,Audit signs and inspect control panels in the sports complex.,"configure, monitor, install, rectify","solar panels, routers, parking sensors, desks"
Infrastructure Task 5559,Configure ramps and audit ramps in the cafeteria.,"configure, schedule, install, document, approve","switches, UPS, control panels, doors, classrooms"
Infrastructure Task 5560,Approve exit signs and document switches in the sports complex.,"schedule, report, approve, supervise","water tanks, UPS, HVAC units, routers, exit signs"
Infrastructure Task 5561,Repair walkways and monitor fuel tanks in the student hostels.,"audit, report, supervise, calibrate, verify","switches, roofing, wiring, switches, signs"
Infrastructure Task 5562,Install UPS and monitor control panels in the campus grounds.,"monitor, configure, supervise, rectify","solar panels, chairs, pipes, fiber cables, lighting fixtures"
Infrastructure Task 5563,Plan walkways and repair water tanks in the sports complex.,"calibrate, upgrade, clean, install, mark","exit signs, elevators, chairs, HVAC units"
Infrastructure Task 5564,Supervise doors and approve HVAC units in the cafeteria.,"schedule, install, rectify, refuel, report","parking sensors, fire extinguishers, paint, generators"
Infrastructure Task 5565,Verify parking sensors and supervise whiteboards in the auditorium.,"test, install, refuel, design, replace","corridors, chairs, control panels, handrails, ramps"
Infrastructure Task 5566,Rectify fire extinguishers and monitor pipes in the campus grounds.,"rectify, inspect, audit, clean","desks, water tanks, paint, corridors"
Infrastructure Task 5567,Design switches and clean paint in the administration building.,"monitor, test, upgrade, install, rectify","faucets, solar panels, whiteboards, parking sensors"
Infrastructure Task 5568,Approve roofing and supervise exit signs in the parking lot.,"clean, document, paint, test, approve","fire extinguishers, fiber cables, UPS, faucets, exit signs"
Infrastructure Task 5569,Approve signs and inspect security cameras in the lecture halls.,"approve, upgrade, refuel, clean, install","switches, fiber cables, generators, UPS, HVAC units"
Infrastructure Task 5570,Document fire extinguishers and plan water tanks in the campus grounds.,"maintain, report, configure, rectify, calibrate","classrooms, switches, server room, paint, fuel tanks"
Infrastructure Task 5571,Paint desks and design classrooms in the administration building.,"test, assess, supervise, configure","generators, server room, roofing, UPS"
Infrastructure Task 5572,Plan roofing and inspect fiber cables in the laboratory.,"supervise, rectify, maintain, inspect","lighting fixtures, pipes, wiring, whiteboards, roofing"
Infrastructure Task 5573,Assess whiteboards and design corridors in the sports complex.,"monitor, assess, supervise, audit","pipes, chairs, elevators, UPS, whiteboards"
Infrastructure Task 5574,Upgrade ramps and mark fuel tanks in the student hostels.,"refuel, report, design, monitor, schedule","landscaping tools, generators, pipes, whiteboards, handrails"
Infrastructure Task 5575,Design generators and verify wiring in the laboratory.,"configure, paint, calibrate, design, test","faucets, fire extinguishers, doors, handrails, paint"
Infrastructure Task 5576,Test server room and schedule pipes in the academic blocks.,"configure, monitor, document, approve, assess","classrooms, server room, fuel tanks, water tanks, pipes"
Infrastructure Task 5577,Verify ramps and approve water tanks in the student hostels.,"schedule, replace, refuel, verify","lighting fixtures, server room, exit signs, security cameras"
Infrastructure Task 5578,Replace doors and clean signs in the cafeteria.,"clean, paint, repair, calibrate, document","wiring, roofing, solar panels, whiteboards, fiber cables"
Infrastructure Task 5579,Mark control panels and document signs in the academic blocks.,"mark, repair, install, audit, upgrade","water tanks, corridors, handrails, signs, parking sensors"
Infrastructure Task 5580,Assess faucets and repair switches in the laboratory.,"clean, supervise, repair, plan","switches, control panels, fire extinguishers, walkways"
Infrastructure Task 5581,Report corridors and assess solar panels in the parking lot.,"install, rectify, design, configure, plan","fiber cables, corridors, exit signs, fire extinguishers"
Infrastructure Task 5582,Document pipes and repair paint in the auditorium.,"clean, approve, configure, install","exit signs, faucets, server room, switches"
Infrastructure Task 5583,Audit faucets and rectify solar panels in the campus grounds.,"configure, clean, rectify, verify, schedule","wiring, routers, ramps, paint, elevators"
Infrastructure Task 5584,Assess ramps and plan generators in the lecture halls.,"mark, plan, repair, refuel, verify","corridors, doors, chairs, switches"
Infrastructure Task 5585,Upgrade fuel tanks and replace paint in the lecture halls.,"test, report, inspect, replace, design","paint, walkways, security cameras, faucets"
Infrastructure Task 5586,Design desks and maintain chairs in the academic blocks.,"calibrate, verify, clean, repair","chairs, server room, control panels, classrooms"
Infrastructure Task 5587,Report security cameras and paint elevators in the auditorium.,"install, supervise, plan, schedule","corridors, switches, HVAC units, solar panels, routers"
Infrastructure Task 5588,Verify generators and schedule handrails in the academic blocks.,"approve, assess, report, document","pipes, roofing, paint, classrooms, elevators"
Infrastructure Task 5589,Mark chairs and maintain UPS in the lecture halls.,"upgrade, install, paint, test","landscaping tools, generators, faucets, control panels, water tanks"
Infrastructure Task 5590,Schedule fire extinguishers and monitor walkways in the cafeteria.,"design, refuel, verify, monitor, repair","fire extinguishers, exit signs, corridors, paint"
Infrastructure Task 5591,Upgrade UPS and configure roofing in the cafeteria.,"calibrate, paint, mark, approve, maintain","fiber cables, routers, exit signs, signs"
Infrastructure Task 5592,Paint security cameras and test water tanks in the sports complex.,"audit, verify, test, refuel","walkways, lighting fixtures, classrooms, landscaping tools, desks"
Infrastructure Task 5593,Approve ramps and mark elevators in the library.,"upgrade, plan, paint, calibrate","switches, solar panels, security cameras, lighting fixtures"
Infrastructure Task 5594,Audit faucets and approve security cameras in the campus grounds.,"maintain, paint, test, refuel, repair","control panels, server room, fire extinguishers, water tanks, exit signs"
Infrastructure Task 5595,Schedule desks and document control panels in the sports complex.,"monitor, document, audit, approve, upgrade","signs, UPS, parking sensors, roofing"
Infrastructure Task 5596,Audit wiring and replace classrooms in the auditorium.,"plan, document, monitor, supervise","roofing, HVAC units, server room, lighting fixtures"
Infrastructure Task 5597,Repair roofing and monitor solar panels in the academic blocks.,"inspect, document, upgrade, test","fuel tanks, wiring, HVAC units, corridors"
Infrastructure Task 5598,Refuel faucets and supervise pipes in the student hostels.,"test, document, approve, refuel","landscaping tools, chairs, paint, roofing, desks"
Infrastructure Task 5599,Repair handrails and verify switches in the auditorium.,"upgrade, replace, verify, approve","elevators, fuel tanks, generators, solar panels, switches"
Infrastructure Task 5600,Assess HVAC units and plan server room in the library.,"supervise, mark, repair, rectify, clean","routers, HVAC units, generators, handrails, paint"
Infrastructure Task 5601,Mark chairs and paint whiteboards in the academic blocks.,"assess, approve, document, configure, paint","whiteboards, lighting fixtures, exit signs, wiring"
Infrastructure Task 5602,Audit classrooms and verify desks in the parking lot.,"upgrade, report, refuel, monitor","switches, ramps, server room, lighting fixtures, desks"
Infrastructure Task 5603,Replace doors and schedule wiring in the lecture halls.,"plan, paint, audit, upgrade","roofing, handrails, lighting fixtures, desks"
Infrastructure Task 5604,Audit generators and refuel pipes in the student hostels.,"supervise, report, audit, schedule","switches, security cameras, fiber cables, walkways"
Infrastructure Task 5605,Test handrails and calibrate desks in the library.,"clean, install, rectify, test, supervise","generators, classrooms, UPS, desks, fire extinguishers"
Infrastructure Task 5606,Maintain UPS and install routers in the auditorium.,"refuel, maintain, schedule, calibrate","walkways, fuel tanks, chairs, generators"
Infrastructure Task 5607,Configure corridors and approve security cameras in the library.,"monitor, schedule, configure, rectify, paint","handrails, classrooms, whiteboards, UPS, signs"
Infrastructure Task 5608,Upgrade parking sensors and schedule exit signs in the administration building.,"schedule, rectify, repair, inspect, assess","server room, handrails, faucets, doors"
Infrastructure Task 5609,Supervise switches and replace landscaping tools in the auditorium.,"design, assess, replace, schedule, paint","signs, classrooms, generators, desks"
Infrastructure Task 5610,Document parking sensors and rectify landscaping tools in the lecture halls.,"clean, plan, paint, mark","doors, signs, desks, wiring, walkways"
Infrastructure Task 5611,Repair switches and test pipes in the cafeteria.,"plan, audit, report, design","wiring, HVAC units, lighting fixtures, fire extinguishers, paint"
Infrastructure Task 5612,Refuel exit signs and clean walkways in the cafeteria.,"supervise, replace, repair, clean","solar panels, UPS, doors, water tanks"
Infrastructure Task 5613,Design switches and paint water tanks in the library.,"install, report, approve, upgrade, document","roofing, faucets, switches, wiring, switches"
Infrastructure Task 5614,Monitor ramps and calibrate control panels in the auditorium.,"report, clean, monitor, install","fiber cables, handrails, solar panels, routers, walkways"
Infrastructure Task 5615,Repair landscaping tools and monitor fuel tanks in the administration building.,"install, report, design, configure, calibrate","exit signs, elevators, security cameras, chairs, lighting fixtures"
Infrastructure Task 5616,Monitor ramps and document switches in the academic blocks.,"refuel, clean, supervise, repair, audit","parking sensors, paint, fire extinguishers, doors"
Infrastructure Task 5617,Design switches and design handrails in the campus grounds.,"supervise, test, schedule, document, configure","faucets, solar panels, HVAC units, server room"
Infrastructure Task 5618,Test control panels and audit exit signs in the administration building.,"schedule, report, repair, assess, monitor","security cameras, whiteboards, doors, fiber cables, solar panels"
Infrastructure Task 5619,Configure UPS and maintain desks in the laboratory.,"supervise, upgrade, paint, assess","lighting fixtures, parking sensors, chairs, classrooms, handrails"
Infrastructure Task 5620,Verify fire extinguishers and report elevators in the administration building.,"report, maintain, upgrade, assess, approve","classrooms, faucets, paint, elevators"
Infrastructure Task 5621,Maintain fuel tanks and monitor desks in the auditorium.,"maintain, approve, rectify, mark","whiteboards, walkways, fuel tanks, classrooms"
Infrastructure Task 5622,Document fiber cables and document fiber cables in the library.,"design, approve, upgrade, monitor, refuel","server room, faucets, doors, wiring, lighting fixtures"
Infrastructure Task 5623,Replace desks and paint water tanks in the lecture halls.,"refuel, supervise, test, clean, install","control panels, security cameras, HVAC units, pipes"
Infrastructure Task 5624,Clean wiring and refuel HVAC units in the library.,"clean, audit, inspect, maintain, assess","classrooms, control panels, handrails, walkways, server room"
Infrastructure Task 5625,Supervise control panels and configure solar panels in the sports complex.,"document, paint, maintain, schedule, configure","handrails, walkways, exit signs, desks"
Infrastructure Task 5626,Rectify elevators and rectify UPS in the cafeteria.,"repair, mark, inspect, report","routers, roofing, handrails, ramps"
Infrastructure Task 5627,Report ramps and approve lighting fixtures in the administration building.,"supervise, assess, repair, report, refuel","UPS, solar panels, signs, chairs"
Infrastructure Task 5628,Verify control panels and verify doors in the lecture halls.,"paint, replace, verify, mark, supervise","roofing, solar panels, control panels, desks, corridors"
Infrastructure Task 5629,Plan server room and test parking sensors in the cafeteria.,"paint, configure, calibrate, mark","switches, doors, handrails, desks, generators"
Infrastructure Task 5630,Replace fuel tanks and audit fiber cables in the cafeteria.,"report, paint, design, rectify, mark","desks, water tanks, control panels, HVAC units"
Infrastructure Task 5631,Refuel server room and plan parking sensors in the lecture halls.,"refuel, install, supervise, clean, test","switches, switches, handrails, water tanks"
Infrastructure Task 5632,Inspect landscaping tools and test parking sensors in the campus grounds.,"replace, mark, repair, audit","server room, paint, control panels, landscaping tools, parking sensors"
Infrastructure Task 5633,Report roofing and install lighting fixtures in the academic blocks.,"replace, repair, schedule, maintain, paint","faucets, elevators, chairs, HVAC units"
Infrastructure Task 5634,Supervise HVAC units and assess whiteboards in the student hostels.,"design, schedule, supervise, assess, configure","wiring, desks, faucets, doors, switches"
Infrastructure Task 5635,Mark server room and clean server room in the cafeteria.,"approve, inspect, plan, report","wiring, water tanks, switches, exit signs, server room"
Infrastructure Task 5636,Verify doors and configure routers in the library.,"repair, test, inspect, monitor","solar panels, parking sensors, generators, landscaping tools"
Infrastructure Task 5637,Monitor doors and document roofing in the library.,"supervise, assess, report, repair","faucets, switches, pipes, wiring, doors"
Infrastructure Task 5638,Design generators and plan doors in the library.,"verify, test, mark, document, upgrade","HVAC units, fiber cables, desks, lighting fixtures"
Infrastructure Task 5639,Report fiber cables and replace roofing in the cafeteria.,"schedule, clean, upgrade, replace","handrails, paint, parking sensors, exit signs, server room"
Infrastructure Task 5640,Inspect switches and rectify lighting fixtures in the auditorium.,"replace, calibrate, maintain, document, audit","fuel tanks, desks, HVAC units, server room, fiber cables"
Infrastructure Task 5641,Monitor fuel tanks and install solar panels in the sports complex.,"inspect, rectify, paint, configure, plan","ramps, switches, pipes, fire extinguishers"
Infrastructure Task 5642,Plan pipes and rectify switches in the lecture halls.,"monitor, inspect, repair, configure, install","control panels, walkways, security cameras, switches"
Infrastructure Task 5643,Report chairs and supervise HVAC units in the student hostels.,"design, test, rectify, inspect","handrails, switches, chairs, paint, switches"
Infrastructure Task 5644,Clean water tanks and refuel walkways in the lecture halls.,"plan, verify, configure, clean","routers, desks, classrooms, exit signs"
Infrastructure Task 5645,Configure fuel tanks and paint elevators in the administration building.,"supervise, test, schedule, calibrate, monitor","control panels, walkways, water tanks, roofing, generators"
Infrastructure Task 5646,Approve routers and refuel classrooms in the library.,"refuel, approve, audit, clean, calibrate","corridors, landscaping tools, parking sensors, UPS"
Infrastructure Task 5647,Plan solar panels and monitor handrails in the auditorium.,"refuel, repair, upgrade, replace, maintain","corridors, fuel tanks, routers, switches, chairs"
Infrastructure Task 5648,Monitor landscaping tools and schedule ramps in the library.,"paint, replace, audit, schedule, calibrate","ramps, fiber cables, HVAC units, switches"
Infrastructure Task 5649,Assess pipes and design fuel tanks in the sports complex.,"paint, install, rectify, design, audit","wiring, roofing, routers, ramps"
Infrastructure Task 5650,Supervise switches and monitor corridors in the cafeteria.,"paint, calibrate, maintain, audit, install","walkways, HVAC units, control panels, water tanks, UPS"
Infrastructure Task 5651,Calibrate desks and assess ramps in the administration building.,"replace, configure, monitor, report","handrails, desks, wiring, generators"
Infrastructure Task 5652,Audit doors and monitor fire extinguishers in the library.,"maintain, schedule, rectify, document, repair","desks, roofing, signs, switches, UPS"
Infrastructure Task 5653,Design control panels and repair fire extinguishers in the cafeteria.,"inspect, rectify, calibrate, repair","landscaping tools, roofing, whiteboards, parking sensors"
Infrastructure Task 5654,Calibrate handrails and maintain landscaping tools in the administration building.,"report, assess, repair, maintain, replace","handrails, fiber cables, corridors, UPS"
Infrastructure Task 5655,Inspect UPS and report parking sensors in the student hostels.,"rectify, configure, refuel, repair","paint, classrooms, switches, fire extinguishers"
Infrastructure Task 5656,Configure solar panels and calibrate handrails in the auditorium.,"document, plan, clean, calibrate","roofing, chairs, lighting fixtures, wiring"
Infrastructure Task 5657,Upgrade corridors and paint control panels in the sports complex.,"schedule, monitor, refuel, plan, design","HVAC units, exit signs, generators, pipes"
Infrastructure Task 5658,Calibrate walkways and schedule desks in the academic blocks.,"supervise, configure, upgrade, schedule","desks, UPS, wiring, doors"
Infrastructure Task 5659,Maintain water tanks and inspect fire extinguishers in the student hostels.,"upgrade, audit, document, supervise, mark","doors, generators, fire extinguishers, server room, landscaping tools"
Infrastructure Task 5660,Inspect roofing and upgrade UPS in the auditorium.,"test, design, plan, maintain","roofing, switches, water tanks, pipes, walkways"
Infrastructure Task 5661,Test routers and configure corridors in the lecture halls.,"document, plan, install, supervise, rectify","exit signs, switches, signs, paint"
Infrastructure Task 5662,Schedule ramps and schedule walkways in the laboratory.,"document, mark, verify, plan, supervise","ramps, elevators, security cameras, server room"
Infrastructure Task 5663,Rectify generators and approve security cameras in the cafeteria.,"assess, supervise, calibrate, install","generators, server room, fiber cables, desks"
Infrastructure Task 5664,Supervise switches and report landscaping tools in the sports complex.,"verify, replace, schedule, test, plan","switches, exit signs, elevators, landscaping tools, UPS"
Infrastructure Task 5665,Replace elevators and upgrade solar panels in the sports complex.,"clean, audit, monitor, verify","ramps, generators, doors, parking sensors"
Infrastructure Task 5666,Audit signs and install fire extinguishers in the lecture halls.,"test, assess, repair, schedule, verify","wiring, switches, exit signs, switches, fiber cables"
Infrastructure Task 5667,Audit server room and inspect parking sensors in the laboratory.,"document, upgrade, clean, schedule, audit","control panels, UPS, parking sensors, server room, HVAC units"
Infrastructure Task 5668,Repair fire extinguishers and calibrate UPS in the administration building.,"plan, assess, refuel, configure, clean","chairs, switches, security cameras, generators, roofing"
Infrastructure Task 5669,Rectify switches and schedule fire extinguishers in the parking lot.,"assess, supervise, report, install","switches, desks, doors, wiring"
Infrastructure Task 5670,Clean parking sensors and replace paint in the campus grounds.,"replace, mark, inspect, configure","elevators, generators, ramps, corridors"
Infrastructure Task 5671,Repair exit signs and supervise solar panels in the cafeteria.,"install, audit, rectify, plan, clean","switches, lighting fixtures, paint, pipes, faucets"
Infrastructure Task 5672,Document UPS and calibrate desks in the academic blocks.,"assess, report, test, refuel","chairs, faucets, corridors, landscaping tools, handrails"
Infrastructure Task 5673,Repair solar panels and rectify handrails in the student hostels.,"design, configure, verify, repair, supervise","switches, parking sensors, landscaping tools, solar panels"
Infrastructure Task 5674,Maintain corridors and assess solar panels in the laboratory.,"replace, audit, mark, configure, supervise","signs, water tanks, pipes, routers"
Infrastructure Task 5675,Monitor exit signs and document classrooms in the cafeteria.,"replace, plan, inspect, refuel, paint","walkways, classrooms, fiber cables, ramps"
Infrastructure Task 5676,Document handrails and maintain wiring in the campus grounds.,"supervise, schedule, clean, install","server room, whiteboards, control panels, chairs"
Infrastructure Task 5677,Mark handrails and verify security cameras in the auditorium.,"upgrade, replace, supervise, plan","wiring, water tanks, whiteboards, solar panels"
Infrastructure Task 5678,Calibrate generators and install chairs in the academic blocks.,"report, rectify, document, mark, maintain","HVAC units, control panels, walkways, routers"
Infrastructure Task 5679,Supervise generators and test HVAC units in the campus grounds.,"configure, test, approve, clean","security cameras, UPS, switches, corridors, paint"
Infrastructure Task 5680,Assess corridors and rectify signs in the administration building.,"repair, design, clean, rectify","roofing, pipes, whiteboards, server room"
Infrastructure Task 5681,Paint wiring and report wiring in the parking lot.,"plan, design, test, configure","roofing, faucets, desks, paint"
Infrastructure Task 5682,Repair handrails and document paint in the campus grounds.,"configure, supervise, clean, refuel","solar panels, faucets, control panels, landscaping tools"
Infrastructure Task 5683,Refuel faucets and plan parking sensors in the sports complex.,"report, document, paint, upgrade, repair","solar panels, switches, desks, doors"
Infrastructure Task 5684,Report walkways and paint elevators in the campus grounds.,"paint, upgrade, approve, report, rectify","paint, landscaping tools, classrooms, parking sensors"
Infrastructure Task 5685,Rectify landscaping tools and assess parking sensors in the administration building.,"replace, upgrade, paint, report, mark","switches, chairs, ramps, control panels, fiber cables"
Infrastructure Task 5686,Approve roofing and assess corridors in the cafeteria.,"inspect, maintain, rectify, report","wiring, roofing, classrooms, lighting fixtures, handrails"
Infrastructure Task 5687,Inspect handrails and document landscaping tools in the library.,"design, upgrade, plan, repair","wiring, solar panels, routers, ramps"
Infrastructure Task 5688,Replace pipes and repair security cameras in the cafeteria.,"refuel, monitor, schedule, test, calibrate","roofing, exit signs, HVAC units, fiber cables"
Infrastructure Task 5689,Replace elevators and schedule roofing in the academic blocks.,"maintain, configure, replace, plan, assess","walkways, classrooms, ramps, elevators, doors"
Infrastructure Task 5690,Configure switches and calibrate UPS in the student hostels.,"inspect, report, clean, audit, assess","HVAC units, walkways, lighting fixtures, water tanks"
Infrastructure Task 5691,Schedule switches and design roofing in the lecture halls.,"monitor, verify, assess, audit, schedule","desks, control panels, security cameras, handrails, switches"
Infrastructure Task 5692,Audit lighting fixtures and approve pipes in the sports complex.,"approve, refuel, document, monitor, mark","security cameras, handrails, signs, walkways"
Infrastructure Task 5693,Calibrate parking sensors and paint HVAC units in the campus grounds.,"clean, calibrate, assess, install","handrails, pipes, parking sensors, signs, server room"
Infrastructure Task 5694,Calibrate pipes and assess landscaping tools in the student hostels.,"assess, test, clean, report, inspect","generators, whiteboards, server room, walkways"
Infrastructure Task 5695,Design server room and paint signs in the auditorium.,"configure, rectify, assess, inspect, schedule","roofing, security cameras, pipes, UPS"
Infrastructure Task 5696,Inspect corridors and design pipes in the library.,"design, install, verify, plan","doors, switches, fire extinguishers, elevators"
Infrastructure Task 5697,Supervise wiring and configure handrails in the laboratory.,"paint, report, audit, document, approve","chairs, faucets, lighting fixtures, fiber cables, walkways"
Infrastructure Task 5698,Refuel lighting fixtures and verify signs in the campus grounds.,"assess, design, report, document","security cameras, paint, switches, pipes"
Infrastructure Task 5699,Install signs and install fiber cables in the student hostels.,"mark, test, assess, report","HVAC units, generators, control panels, corridors, desks"
Infrastructure Task 5700,Monitor water tanks and refuel faucets in the administration building.,"document, monitor, assess, rectify","exit signs, UPS, desks, fuel tanks, roofing"
Infrastructure Task 5701,Supervise paint and document doors in the academic blocks.,"verify, repair, audit, supervise, configure","desks, switches, corridors, water tanks, fuel tanks"
Infrastructure Task 5702,Calibrate server room and test handrails in the administration building.,"supervise, verify, audit, paint, mark","handrails, fire extinguishers, corridors, chairs"
Infrastructure Task 5703,Repair corridors and test landscaping tools in the campus grounds.,"repair, document, rectify, clean","lighting fixtures, parking sensors, fiber cables, walkways"
Infrastructure Task 5704,Approve handrails and upgrade UPS in the cafeteria.,"repair, monitor, document, install, paint","UPS, wiring, HVAC units, fuel tanks"
Infrastructure Task 5705,Report doors and test roofing in the library.,"upgrade, document, report, replace, verify","paint, doors, classrooms, UPS, handrails"
Infrastructure Task 5706,Test security cameras and inspect classrooms in the academic blocks.,"clean, mark, monitor, paint, verify","landscaping tools, whiteboards, exit signs, server room, signs"
Infrastructure Task 5707,Plan pipes and supervise corridors in the laboratory.,"report, calibrate, clean, replace","faucets, fire extinguishers, desks, generators"
Infrastructure Task 5708,Report fire extinguishers and rectify landscaping tools in the student hostels.,"document, schedule, assess, verify","control panels, handrails, server room, security cameras, landscaping tools"
Infrastructure Task 5709,Approve server room and report parking sensors in the cafeteria.,"configure, design, repair, install","whiteboards, exit signs, desks, water tanks"
Infrastructure Task 5710,Supervise paint and schedule UPS in the auditorium.,"mark, audit, assess, plan","paint, wiring, lighting fixtures, signs, fire extinguishers"
Infrastructure Task 5711,Monitor corridors and plan switches in the cafeteria.,"inspect, refuel, repair, rectify, assess","roofing, solar panels, faucets, switches"
Infrastructure Task 5712,Assess paint and mark lighting fixtures in the campus grounds.,"supervise, verify, repair, rectify, clean","server room, doors, switches, roofing, parking sensors"
Infrastructure Task 5713,Document security cameras and configure doors in the cafeteria.,"refuel, plan, design, audit, maintain","switches, whiteboards, generators, desks"
Infrastructure Task 5714,Verify desks and plan HVAC units in the sports complex.,"verify, repair, document, calibrate","landscaping tools, control panels, parking sensors, routers, walkways"
Infrastructure Task 5715,Supervise exit signs and audit roofing in the campus grounds.,"configure, monitor, test, maintain, schedule","fuel tanks, server room, ramps, doors, switches"
Infrastructure Task 5716,Replace routers and install server room in the laboratory.,"paint, upgrade, audit, document","UPS, ramps, solar panels, security cameras, generators"
Infrastructure Task 5717,Maintain switches and schedule generators in the campus grounds.,"rectify, design, mark, approve, install","routers, fuel tanks, exit signs, walkways, doors"
Infrastructure Task 5718,Upgrade faucets and configure switches in the student hostels.,"audit, design, supervise, paint","ramps, doors, fire extinguishers, fiber cables"
Infrastructure Task 5719,Design HVAC units and supervise fiber cables in the campus grounds.,"test, document, audit, clean","control panels, security cameras, fuel tanks, whiteboards, routers"
Infrastructure Task 5720,Assess corridors and plan server room in the laboratory.,"inspect, configure, clean, design, assess","HVAC units, chairs, paint, fire extinguishers, routers"
Infrastructure Task 5721,Design control panels and schedule corridors in the laboratory.,"report, mark, verify, supervise, maintain","switches, pipes, landscaping tools, desks"
Infrastructure Task 5722,Paint chairs and approve handrails in the laboratory.,"refuel, clean, supervise, paint, design","switches, HVAC units, exit signs, pipes"
Infrastructure Task 5723,Test fuel tanks and clean desks in the library.,"maintain, install, document, test","water tanks, desks, fuel tanks, generators"
Infrastructure Task 5724,Supervise pipes and report fiber cables in the library.,"audit, schedule, assess, refuel, install","paint, fiber cables, water tanks, fire extinguishers, server room"
Infrastructure Task 5725,Verify corridors and audit walkways in the cafeteria.,"audit, document, plan, rectify, configure","whiteboards, ramps, corridors, fire extinguishers"
Infrastructure Task 5726,Mark roofing and audit fiber cables in the library.,"document, repair, test, calibrate, rectify","server room, walkways, faucets, pipes"
Infrastructure Task 5727,Monitor security cameras and repair control panels in the campus grounds.,"plan, rectify, calibrate, install","elevators, fuel tanks, corridors, UPS"
Infrastructure Task 5728,Monitor fire extinguishers and rectify whiteboards in the academic blocks.,"maintain, report, supervise, verify","classrooms, solar panels, landscaping tools, pipes, switches"
Infrastructure Task 5729,Test chairs and configure HVAC units in the cafeteria.,"upgrade, maintain, clean, monitor, replace","UPS, fiber cables, parking sensors, lighting fixtures"
Infrastructure Task 5730,Test desks and replace walkways in the lecture halls.,"refuel, calibrate, inspect, test, paint","roofing, control panels, landscaping tools, exit signs, ramps"
Infrastructure Task 5731,Verify pipes and monitor control panels in the campus grounds.,"design, rectify, approve, install, maintain","fiber cables, roofing, chairs, walkways"
Infrastructure Task 5732,Report fuel tanks and plan signs in the student hostels.,"configure, plan, verify, document, supervise","routers, control panels, corridors, lighting fixtures, landscaping tools"
Infrastructure Task 5733,Configure control panels and schedule roofing in the library.,"approve, clean, test, calibrate","ramps, elevators, signs, doors"
Infrastructure Task 5734,Approve wiring and replace water tanks in the academic blocks.,"test, report, paint, upgrade, approve","lighting fixtures, doors, desks, walkways, corridors"
Infrastructure Task 5735,Upgrade paint and replace switches in the sports complex.,"rectify, monitor, plan, upgrade, configure","fuel tanks, corridors, generators, UPS"
Infrastructure Task 5736,Assess fuel tanks and configure pipes in the parking lot.,"configure, schedule, calibrate, refuel, approve","parking sensors, walkways, security cameras, pipes"
Infrastructure Task 5737,Mark handrails and design generators in the administration building.,"approve, inspect, repair, refuel, assess","roofing, doors, fuel tanks, pipes, ramps"
Infrastructure Task 5738,Clean doors and calibrate wiring in the lecture halls.,"supervise, install, verify, repair, maintain","exit signs, walkways, roofing, signs, generators"
Infrastructure Task 5739,Repair fuel tanks and verify water tanks in the sports complex.,"configure, monitor, inspect, repair","doors, UPS, switches, exit signs, desks"
Infrastructure Task 5740,Maintain control panels and design ramps in the laboratory.,"assess, refuel, install, clean","handrails, classrooms, elevators, switches, ramps"
Infrastructure Task 5741,Inspect lighting fixtures and test UPS in the cafeteria.,"design, refuel, schedule, verify","wiring, server room, routers, fiber cables, ramps"
